"measure_id","measure_name","location_id","ihme_loc_id","location_name","sex_id","sex","age_group_id","age_group_name","year_id","metric_id","metric_name","rei_id","rei_name","threshold","population","mean","upper","lower"
18,"Proportion",6,"CHN","China",3,"Both",14,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.3370255891320818,0.9132,0
18,"Proportion",6,"CHN","China",3,"Both",15,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.3943789190964264,0.9638,0
18,"Proportion",6,"CHN","China",3,"Both",16,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.4345919797509948,0.9836,0.0034
18,"Proportion",6,"CHN","China",3,"Both",17,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.43147898454500117,0.9892,0.0024
18,"Proportion",6,"CHN","China",3,"Both",18,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.48200614310932527,1,0.006199999999999999
18,"Proportion",6,"CHN","China",3,"Both",19,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.5051284634324527,1,0.009
18,"Proportion",6,"CHN","China",3,"Both",20,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.5437530709364825,1,0.0154
18,"Proportion",6,"CHN","China",3,"Both",30,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.5494696879316012,1,0.0128
18,"Proportion",6,"CHN","China",3,"Both",31,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.6004733037075515,1,0.021399999999999995
18,"Proportion",6,"CHN","China",3,"Both",32,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.6428116141578967,1,0.05
18,"Proportion",6,"CHN","China",3,"Both",34,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.12038581276740233,0.482,0
18,"Proportion",6,"CHN","China",3,"Both",235,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.778710595233861,1,0.1364
18,"Proportion",6,"CHN","China",3,"Both",238,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.10525986584472201,0.436,0
18,"Proportion",6,"CHN","China",3,"Both",388,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.10513509389740408,0.439,0
18,"Proportion",6,"CHN","China",3,"Both",389,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.10570132554254877,0.439,0
18,"Proportion",6,"CHN","China",3,"Both",NA,"0 to 14",2023,NA,NA,242,"Lead exposure in blood",50,252100372.1314281,0.13735903793357285,0.5366,0
18,"Proportion",6,"CHN","China",3,"Both",NA,"25+",2023,NA,NA,242,"Lead exposure in blood",50,1027227793.4691912,0.37710460245177085,0.9782,0
18,"Proportion",6,"CHN","China",3,"Both",NA,"<1",2023,NA,NA,242,"Lead exposure in blood",50,9454626.13431687,0.10607474297017763,0.441,0
18,"Proportion",6,"CHN","China",3,"Both",NA,"<20",2023,NA,NA,242,"Lead exposure in blood",50,332661095.569766,0.14800138078888558,0.5732,0
18,"Proportion",6,"CHN","China",3,"Both",NA,"<5",2023,NA,NA,242,"Lead exposure in blood",50,62163764.010105886,0.11567075144526695,0.473,0
18,"Proportion",6,"CHN","China",3,"Both",22,"All ages",2023,NA,NA,242,"Lead exposure in blood",50,1430645083.6484091,0.3160681689807439,0.9594,0
18,"Proportion",6,"CHN","China",3,"Both",NA,"Neonates",2023,NA,NA,242,"Lead exposure in blood",50,706229.3403668917,0.11387927440865317,0.459,0
18,"Proportion",7,"PRK","Democratic People's Republic of Korea",3,"Both",2,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.9883078070766088,1,0.937
18,"Proportion",7,"PRK","Democratic People's Republic of Korea",3,"Both",3,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.9913155290624851,1,0.941
18,"Proportion",7,"PRK","Democratic People's Republic of Korea",3,"Both",6,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.9938476658219666,1,0.9512
18,"Proportion",7,"PRK","Democratic People's Republic of Korea",3,"Both",7,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.9979675105310217,1,0.9763999999999999
18,"Proportion",7,"PRK","Democratic People's Republic of Korea",3,"Both",8,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.998519498344615,1,0.9825999999999999
18,"Proportion",7,"PRK","Democratic People's Republic of Korea",3,"Both",9,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.9999410656598406,1,1
18,"Proportion",7,"PRK","Democratic People's Republic of Korea",3,"Both",10,NA,2023,NA,NA,242,"Lead exposure in blood",50,NA,0.9997969801112341,1,0.9978
